GenBankAssemblyID	NCBI Taxonomy ID	NCBI Assembly Name	NCBI Species Name	NCBI Species Lineage	Potential Hosts	PACIFIC Group
GCA_000864105.1	93838	ViralMultiSegProj15617	Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H5N1 subtype	"human,vertebrates"	Influenza
GCA_000865085.1	335341	ViralMultiSegProj15622	Influenza A virus (A/New York/392/2004(H3N2)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H3N2 subtype	"human,vertebrates"	Influenza
GCA_000865725.1	211044	ViralMultiSegProj15521	Influenza A virus (A/Puerto Rico/8/1934(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000866645.1	488241	ViralMultiSegProj15620	Influenza A virus (A/Korea/426/1968(H2N2)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H2N2 subtype	"human,vertebrates"	Influenza
GCA_000928555.1	1332244	ViralMultiSegProj274585	Influenza A virus (A/Shanghai/02/2013(H7N9)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H7N9 subtype	"human,vertebrates"	Influenza
GCA_000986055.1	1645787	A_England_8_2010	Influenza A virus (A/England/8/2009(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986075.1	1645777	A_England_12_2010	Influenza A virus (A/England/12/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986095.1	1645788	A_England_251_2011	Influenza A virus (A/England/251/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986115.1	1645851	A_England_05120003_2010	Influenza A virus (A/England/05120003/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986135.1	1645807	A_England_697_2010	Influenza A virus (A/England/697/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986155.1	1645866	A_England_01180016_2009	Influenza A virus (A/England/01180016/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986175.1	1645799	A_England_10740707_2011	Influenza A virus (A/England/10740707/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986195.1	1645854	A_England_05040138_2010	Influenza A virus (A/England/05040138/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986215.1	1645845	A_England_05100298_2010	Influenza A virus (A/England/05100298/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986235.1	1645864	A_England_01220736_2009	Influenza A virus (A/England/01220736/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986255.1	1645802	A_England_676_2010	Influenza A virus (A/England/676/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986275.1	1645790	A_England_446_2010	Influenza A virus (A/England/446/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986295.1	1645865	A_England_245_2011	Influenza A virus (A/England/245/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986315.1	1645877	A_England_WTSI1832_2010	Influenza A virus (A/England/WTSI1832/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986335.1	1645844	A_England_675_2010	Influenza A virus (A/England/675/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986355.1	1645803	A_England_701_2010	Influenza A virus (A/England/701/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986375.1	1645782	A_England_331_2010	Influenza A virus (A/England/331/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986395.1	1645792	A_England_WTSI1778_2009	Influenza A virus (A/England/WTSI1778/2009(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986435.1	1645869	A_England_10820742_2010	Influenza A virus (A/England/10820742/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986455.1	1645776	A_England_10740571_2010	Influenza A virus (A/England/10740571/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986475.1	1645798	A_England_05020665_2010	Influenza A virus (A/England/05020665/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986495.1	1645800	A_England_671_2010	Influenza A virus (A/England/671/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986515.1	1645783	A_England_9_2010	Influenza A virus (A/England/9/2009(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986535.1	1645801	A_England_10740579_2010	Influenza A virus (A/England/10740579/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986555.1	1645796	A_England_32_2010	Influenza A virus (A/England/32/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986575.1	1645871	A_England_00380719_2010	Influenza A virus (A/England/00380719/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986595.1	1645883	A_England_00380718_2010	Influenza A virus (A/England/00380718/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000986615.1	1645810	A_England_673_2010	Influenza A virus (A/England/673/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006685.1	1645826	A_England_719_2010	Influenza A virus (A/England/719/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006725.1	1645830	A_England_10_2010	Influenza A virus (A/England/10/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006745.1	1645841	A_England_10740685_2010	Influenza A virus (A/England/10740685/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006825.1	1645846	A_England_343_2010	Influenza A virus (A/England/343/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006845.1	1645823	A_England_677_2010	Influenza A virus (A/England/677/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006865.1	1645819	A_England_10740704_2011	Influenza A virus (A/England/10740704/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006885.1	1645853	A_England_WTSI1781_2011	Influenza A virus (A/England/WTSI1781/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006905.1	1645825	A_England_05160420_2010	Influenza A virus (A/England/05160420/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001006925.1	1645885	A_England_WTSI2051_2011	Influenza A virus (A/England/WTSI2051/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013605.1	1645784	A_England_29_2010	Influenza A virus (A/England/29/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013625.1	1645786	A_England_468_2010	Influenza A virus (A/England/468/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013645.1	1645795	A_England_05020662_2010	Influenza A virus (A/England/05020662/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013665.1	1645776	A_England_10740571_2010	Influenza A virus (A/England/10740571/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013685.1	1645794	A_England_00380710_2010	Influenza A virus (A/England/00380710/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013705.1	1645804	A_England_WTSI1807_2010	Influenza A virus (A/England/WTSI1807/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013725.1	1645805	A_England_11_2010	Influenza A virus (A/England/11/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013745.1	1645781	A_England_WTSI1769_2010	Influenza A virus (A/England/WTSI1769/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013765.1	1645780	A_England_10740664_2011	Influenza A virus (A/England/10740664/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013785.1	1645806	A_England_21680633_2010	Influenza A virus (A/England/21680633/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013805.1	1645778	A_England_688_2010	Influenza A virus (A/England/688/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013825.1	1645793	A_England_05100297_2010	Influenza A virus (A/England/05100297/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013845.1	1645789	A_England_687_2010	Influenza A virus (A/England/687/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013865.1	1645791	A_England_10740688_2010	Influenza A virus (A/England/10740688/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013885.1	1645779	A_England_10820733_2010	Influenza A virus (A/England/10820733/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013925.1	1645797	A_England_717_2010	Influenza A virus (A/England/717/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013945.1	1645785	A_England_694_2010	Influenza A virus (A/England/694/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001013965.1	1645778	A_England_688_2010	Influenza A virus (A/England/688/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014005.1	1645818	A_England_01180007_2010	Influenza A virus (A/England/01180007/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014025.1	1645812	A_England_692_2010	Influenza A virus (A/England/692/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014045.1	1645811	A_England_132_2011	Influenza A virus (A/England/132/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014065.1	1645815	A_England_00380709_2010	Influenza A virus (A/England/00380709/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014085.1	1645824	A_England_04980053_2010	Influenza A virus (A/England/04980053/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014105.1	1645817	A_England_04900053_2010	Influenza A virus (A/England/04900053/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014125.1	1645821	A_England_11520759_2011	Influenza A virus (A/England/11520759/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014145.1	1645820	A_England_10820734_2010	Influenza A virus (A/England/10820734/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014165.1	1645809	A_England_WTSI1826_2010	Influenza A virus (A/England/WTSI1826/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014185.1	1645827	A_England_10740561_2010	Influenza A virus (A/England/10740561/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014205.1	1645814	A_England_05020673_2010	Influenza A virus (A/England/05020673/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014225.1	1645816	A_England_01180018_2010	Influenza A virus (A/England/01180018/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014245.1	1645822	A_England_393_2010	Influenza A virus (A/England/393/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001014265.1	1645813	A_England_377_2010	Influenza A virus (A/England/377/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001039805.1	1645828	A_England_12240612_2010	Influenza A virus (A/England/12240612/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001039825.1	1645829	A_England_10740681_2010	Influenza A virus (A/England/10740681/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001039845.1	1645831	A_England_WTSI2060_2010	Influenza A virus (A/England/WTSI2060/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
